Month,Year,Company,Location,State,Type of breach,Type of organization,Records Breached,Total Records,Description of incident,Information Source
August,2014,"MeetMe, Inc.",New Hope, Pennsylvania,HACK,BSO,0,0,"MeetMe, Inc. has announced a data breach of their system when hackers gained access to their customer information. The information included names, emails addresses, and passwords. The company reported that they have contacted their customers to change their usernames and passwords.",California Attorney General
August,2014,The UPS Store,Atlanta, Georgia,HACK,BSR,0,0,"The UPS Store, Inc has notified customers of a data breach when they discovered malware in their systems targeting UPS retailers. UPS retained a security firm to review their systems and found malware at 51 locations in 24 states. UPS has a total of 4,470 franchised center locations within the US. The company announced that both credit and debit card purchases were impacted at the franchised locations from January 20, 2014 through August 11, 2014. The company has since removed the malware from their system. The company put out the following information: For those affected with questions,  please call us at 1-855-731-6016."" For more information http://oag.ca.gov/system/files/California%20Distribution_0.pdf? CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",California Attorney General
August,2014,Albertsons/AB Acquisitions LLC,Boise, Idaho,HACK,BSO,0,0,"The Albertsons grocery chain in Southern California announced a data breach when hackers attempted to 
obtain customer credit and debit card information from its approximately
 180 Southern California stores, as well as stores in several other states.AB Acquisition LLC which operates Albertson stores, ACME Markets, 
Jewel-Osco, Shaw’s and Star Markets all under New Albertson’s, Inc. confirmed that the data breach started as early as June 22, 2014 and ended July 17, 2014. ""Albertson stores in Idaho, Montana, North Dakota, Nevada, Oregon, 
Washington, Wyoming and southern Utah were also affected. In addition, ACME Markets in Pennsylvania, Maryland, Delaware and New 
Jersey; Jewel-Osco stores in Iowa, Illinois and Indiana; and Shaw’s and 
Star Markets stores in Maine, Massachusetts, Vermont, New Hampshire and 
Rhode Island were all impacted by this incident"".The company is offering customers who may have been affected by 
the breach a year of complimentary identity-protection services. For 
more information, customers can call (877) 932-7948 or visit Albertsons'
 website.

More Information:  http://www.latimes.com/business/la-fi-breach-alberstons-20140815-story.html ",Media
August,2014,Supervalue,Eden Prairie, Minnesota,HACK,BSO,0,0,"Supervalu, which operates 3,763 outlets, both corporate and franchised stores,  has reported a data breach in their point-of-sale system which affected some of its retail food stores, along with several of its stand-alone liquor stores.

The information compromised includes account numbers and other information on customer payment cards used at the point-of-sale systems. The data breach occurred from June 22, 2014 through July 17, 2014 according to company spokesperson. 

The retail grocery chain has notified authorities and the breach is currently under investigation.
 
More Information: http://www.cnbc.com/id/101922584#  ",Media
August,2014,Community Health Systems,Franklin, Tennessee,HACK,MED,4.5 million,"4,500,000","Community Health Systems out of Franklin Tennessee has announced a large data breach of their medical system. The breach occured when hackers infiltrated the server of the health system compromising Social Security numbers, names and addresses for 4.5 million patients. Authorities believe that the hackers were based out of China and the attacks happened from April 2014 through June 2014.The company operates 206 hospitals in 29 states and is currently doing further investigations regarding the attack. More Information:  http://bits.blogs.nytimes.com/2014/08/18/hack-of-community-health-system...  UPDATE (8/26/2014): Five Alabama residents have filed a class-action lawsuit against Community Health Systems following last week's announcement of the data breach of 4.5 million patients. ",Media
August,2014,Geekface LLC,Pawcatuck, Connecticut,HACK,NGO,0,0,"Geekface LLC, which runs the online sites Hatchwise.com and eLogoContest.com notified customers of a data breach to their server that compromised personal information.The information breached included names, addresses, birth dates, usernames, passwords, and Social Security numbers.For those with questions or needing further assistance they can call 1-800-303-09111-800-303-0911 between 10:00 a.m and 5:00 p.m. EST Monday through Friday or visit hatchwise.com.CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",California Attorney General
September,2014,Healthcare.gov,Washington, District Of Columbia,HACK,GOV,0,0,"Reportedly, Healthcare.gov has suffered a data breach to one of their test systems by hackers. Currently the Obama administration is communicating that no personal information was compromised, but authorities are investigating.According to the administration, ""“our review indicates that the server did not contain consumer personal 
information, data was not transmitted outside the agency and the website
 was not specifically targeted,” said Aaron Albright, a spokesman at the
 Centers for Medicare and Medicaid Services, which runs the website. “We
 have taken measures to further strengthen security.”""""Mr.
 Albright said the hacking was made possible by several security 
weaknesses. The test server should not have been connected to the 
Internet, he said, and it came from the manufacturer with a default 
password that had not been changed.In addition, he said, the server was not subject to regular security scans as it should have been"".More Information: http://www.nytimes.com/2014/09/05/us/hackers-breach-security-of-healthca...",Media
September,2014,Beef O'Brady's Restaurants,North Port, Florida,HACK,BSO,0,0,"Beef O'Brady restaurants appear to have been a victim of a data breach to their point of sale system, when unauthorized credit card transactions begain appearing on financial statement of customers. These transactions were from numerous vendors in Texas, New York, and Massachusetts. The restaurant chain is located in Florida.Reportedly, a minimum of four Florida Beef O'Brady's 
restaurant locations have been compromised.The information compromised included credit and 
debit card information. The company is currently working with 
local law enforcement to further investigate the breach. More Information: http://www.wtsp.com/story/news/local/2014/09/09/potential-data-breach-at... ",Media
September,2014,Bartell Hotels ,San Diego, California,HACK,BSO,"55,000","55,000","Bartell Hotels, who operates several hotels in San Diego, has announced that they have suffered a data breach of customer credit card information.The Best Western Plus Island Palms 
Hotel & Marina, The Dana on Mission Bay, Humphreys Half Moon Inn 
& Suites, Pacific Terrace Hotel and Days Hotel – Hotel Circle had names, credit card numbers and credit card expiration dates of customers who stayed at these hotels between February 16, 2014 and May 13, 2014 breached. 
                                        







    
       







                                                                                    
                                        







    
    
        







                                                                                    The breach could have affected up to 55,000 individuals.For those affected, they can contact a representative at  877-437-4010 Monday through Saturday 8 a.m. to 8 p.m. CT with 
questions or concerns. More Information:  http://www.nbcsandiego.com/news/local/Data-Security-Breach-Reported-at-San-Diego-Hotels-274421341.html#ixzz3CvzjLpSG
",Media
July,2014,Goodwill Industries International Inc.,Rockville, Maryland,HACK,BSR,"868,000","868,000","Financial institutions are tracking what appears to be fraudulent activity at numerous Goodwill retail stores. The fraudulent activity involves credit card breaches and that the compromised credit cards appear to have started at Goodwill stores across the country. The credit card information is then showing up at other retail establishments, similar to the breaches that occurred at Target, Neiman Marcus, P.F. Changs, etc.“Goodwill Industries International was contacted last Friday 
afternoon by a payment card industry fraud investigative unit and 
federal authorities informing us that select U.S. store locations may 
have been the victims of possible theft of payment card numbers,” the 
company wrote in an email. 
“Investigators are currently reviewing available information,” the 
statement continued. “At this point, no breach has been confirmed but an
 investigation is underway. Goodwills across the country take the data 
of consumers seriously and their community well-being is our number one 
concern. Goodwill Industries International is working with industry 
contacts and the federal authorities on the investigation. We will 
remain appraised of the situation and will work proactively with any 
individual local Goodwill involved taking appropriate actions if a data 
compromise is uncovered.”Goodwill Industries stated they learned of the potential breach on July 18th and is working with federal investigators to determine if the breach is legitimate and if legitimate. how many stores were affected. UPDATE (9/10/2014): Goodwill Industries announced that the data breach they suffered is linked to a third party vendor.  ""Goodwill said a forensic investigation had found that a third-party 
vendor's systems had been attacked by malware, providing the attackers 
with access to the credit card data of several of that vendor's 
customers intermittently between February 10, 2013 and August 14, 2014"".According to Goodwill, 330 Goodwill stores in 20 states were affected. Forbes reported that 868,000 individuals were affected.More Information: http://www.esecurityplanet.com/network-security/goodwill-data-breach-lin... ",Krebs On Security
September,2014,"California State University, East Bay",Hayward, California,HACK,EDU,0,0,"California State University, East Bay has notified individuals of a data breach that has occurred on August 11, 2014 when the University discovered unauthorized access to individuals information when an overseas IP address appears to have used a software tool designed to access information on a server without being detected. The server targeted contained personal information on various employment record transactions and some extended learning course information. The specific information breached included names, addresses, Social Security Numbers and dates of birth. The University has set up 12 months free of Experian's ProtectMyID for those affected. For additional questions or concerns individuals can contact (888) 738-3759 a toll free number specifically set up to deal with questions/concerns regarding this breach.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-46513",California Attorney General
September,2014,Yandy.com,Phoenix, Arizona,HACK,BSR,0,0,"Yandy.com, an online retailer, notified customers of a data breach to their online payment system when the server that processes this information was hacked. The unauthorized user (s) gained payment card information, including the CVV numbers on the back of the cards, expiration dates, names, addresses and email addresses of customers.For those affected with questions, they can call the company at 1-844-236-1015. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-46527",California Attorney General
September,2014,Apple,Cupertino, California,HACK,BSO,0,0,"""A few days ago a group calling themselves hackappcom posted a proof of
 concept script on the popular code repository called Github that would 
allow for a user to attempt to breach iCloud and access a user account. 
This script would query iCloud services via the “Find My iPhone” API to 
guess username and password combinations. The problem here was that 
apparently Apple  
was not limiting the number of queries. This allowed for attackers to 
have numerous chances to guess password combinations without the fear of
 being locked out"".The number of celebrity photos or private information breached is still unknown.  More Information: http://www.forbes.com/sites/davelewis/2014/09/02/icloud-data-breach-hack...",Media
January,2012,Zappos.com,Las Vegas, Nevada,HACK,BSR,24 million (No financial information or SSNs reported),0,"Customers were informed that their customer account information on Zappos.com may have been illegally accessed by unauthorized parties.  Customer names, email addresses, billing and shipping addresses, phone numbers, final four digits of credit card numbers, and/or cryptographically scrambled passwords were linked to customer accounts and could have been obtained. The secure database that stores detailed credit card and payment information was not affected by the breach or accessed. Since passwords may have been affected, customers should change their passwords and make sure that their old Zappos.com password is not used for any other sites.UPDATE (1/21/2012): A resident of Texas is suing Zappos.com and Zappos' parent company Amazon.com on behalf of millions of customers who were affected by the release of personal account information.  The lawsuit is being filed in Kentucky.UPDATE (9/22/2014):  A federal judge has denied a motion by Zappos to dismiss a class action lawsuit for a breach of customer data in 2012. Reportedly, the parties are nearing a settlement.More Information: http://www.courthousenews.com/2014/09/22/71619.htm",Databreaches.net
September,2014,Viator Inc,San Francisco, California,HACK,BSO,0,0,"Viator Inc, was notified of a data breach by their credit card service provider when they had received numerous complaints of erroneous charges to accounts. Their investigation lead to seeing fraudulent charges to Viator customers via their online payment processing system. The breach includes the compromise of customer credit card and debit card data, card expirations, names, billing addresses, email addresses and Viator ""nicknames"". The company is offering 12 month of credit monitoring services at no cost. For those affected they can call 1-888-680-0710 to speak with someone. The company is also asking customers to go into their accounts and change their passwords. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-46657",California Attorney General
September,2014,BayBio,San Francisco, California,HACK,NGO,0,0,BayBio.org has notified individuals of a data breach to their online payment system. The non-profit organization has notified that the hacking to their payment system compromised credit card numbers in process.The hacker inserted files that captured keystrokes of visitors to their site which included credit card numbers when individuals were either paying for a membership or an event being held by the non-profit. Payments are being taken by phone until the breach has been repaired. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-46727 ,California Attorney General
September,2014,Albertson's LLC (AB Acquisition LLC),Spokane , Washington,HACK,BSR,0,0,"AB Acquisition LLC announced the discovery of a separate criminal investigation involving payment cards of customers who shopped at Albertsons stores, ACME Markets, Jewel-Osco, Shaw's and Star Markets. The company has discovered that a different malware was used in some of the stores than what was discovered in the recent data breach incident on August 2014. This breach is more recent than the August breach and appears to have happened at the end of August, beginning of September 2014. This newer breach reportedly captured account numbers, expiration dates, other numerical information and/or cardholder names. The company has different point of sale systems at the different locations. Reportedly Albertson stores in Arizona, Arkansas, Colorado, Florida, Louisiana, New Mexico, Texas and their two Super Saver Food Stores in Northern Utah were not affected. Those stores that were affected includes Albertsons stores in Southern California, Idaho, Montana, North Dakota, Nevada, Oregon, Washington, Wyoming and Southern Utah. In addition, ACME Markets in Pennsylvania, Maryland, Delaware and New Jersey were affected, along with Jewel-Osco stores in Iowa, Illinois and Indiana and Shaw's and Star Markets stores in Maine, Massachusetts, Vermont, New Hampshire and Rhode Island.The timeframes of the breach are August 27, 2014 through September 21, 2014. The company is offering free credit monitoring for one year  with AllClearID at no cost to those who were affected. For questions, call 1-855-865-4449.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-46749",California Attorney General
October,2014,"Flinn Scientific, Inc.",Batvia, Illinois,HACK,BSR,0,0,"Flinn Scientific, an ecommerce site focused on scientific materials for teachers and students, notified customers of a data breach to their online payment system when a cyber attacker inserted malware to gain access to the server that hosts payment information. The information breached includes payment card numbers, card verification codes, expiration dates, names, addresses, and email addresses.The company has set up credit monitoring with AllClearID for 12 months for those individuals affected by the breach. For questions individuals can call 1-866-979-2595 to get credit monitoring started.More Information:http://oag.ca.gov/ecrime/databreach/reports/sb24-46816",California Attorney General
July,2014,Bank of The West,San Francisco, California,HACK,BSF,0,0,"Bank of The West notified customers of an email scam that involved two employees' remote bank email login credentials being compromised. As a result of this unauthorized access, customer information could be at risk. The information includes names, account numbers, loan numbers, Social Security numbers. The bank is offering one year free of First Watch ID for those affected. For those with questions regarding the service they can call 1-866-310-7373 or 1-800-488-2265. ",California Attorney General
August,2014,Dairy Queen,Edina, Minnesota,HACK,BSR,0,0,"Dairy Queen has reported a data breach of their POS (Point of Sale) system when malware authorities are calling ""Backoff"" was found on the system. This same malware authorities are attributing to the Target and Supervalu Inc. data breaches.  Currently the restaurant chain is unclear as to how many stores were affected.  Dairy Queen operates 6,300 restaurants across the US, many of which are franchisees that are not required to report fraud to Dairy Queens headquarters. Currently Dairy Queen is working with authorities to uncover the specifics.More Information: http://bringmethenews.com/2014/08/27/dairy-queen-confirms-potential-brea...UPDATE:(9/10/2014): Dairy Queen has announced that several of its stores will go to a ""cash only"" model in lieu of the current data breach the fast food restaurant chain suffered.The company stated that only a small portion of its 4,500 stores were affected, but they would not say how many or which restaurants will be going to a cash only system. More Information: http://minnesota.cbslocal.com/2014/09/03/dairy-queen-taking-security-ste...UPDATE: (10/10/2014): On Thursday, Dairy Queen confirmed that 400 stores and one Orange Julius location were compromised as a result of the point of sale malware first reported back in August. The investigation also confirmed that the hackers used compromised credentials of a third party vendor to infiltrate Dairy Queen's POS system.More Information: http://www.dairyqueen.com/us-en/datasecurityincident/affected-stores/?lo...",Media
October,2014,Evolution Nature Corp. dba The Evolution Store,Manhattan, New York,HACK,BSR,0,0,"Evolution Nature Corp., dba The Evolution Store contacted customers regarding a data breach to their online stores affecting customer credit card information.The company received a complaint of credit card fraud from a customer and launched an investigation by a data forensics expert. The investigation revealed that the administrative portion of the Evolution e-commerce site was accessed by an unauthorized third party that was using administrative credentials exposing customer order information.The information exposed included names, email addresses, phone numbers, billing addresses, shipping addresses, order information, and credit/debit card information, including the CVV numbers on the backs of the cards.For those affected, the company is offering AllClear Secure for 12 months at no cost. For those with questions, call 1-877-322-82281-877-322-8228.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-46935CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",California Attorney General
October,2014,Provo City School District,Provo, Utah,HACK,EDU,"1,400",0,"The Provo City School District notified employees of a ""phishing"" attack Monday September 29, 2014 which allowed access to employees email accounts. Some employee email accounts contained files that may have had personally identifiable information. Currently the school district is investigating the breach and notifying those affected.More Information: http://fox13now.com/2014/10/01/provo-city-school-district-warning-employ...",Media
October,2014,Snapsaved.com,,,HACK,BSO,"200,000",0,"Snapsaved.com, a third party vendor to Snapchat, announced that their servers were hacked, which in turn caused thousands of photos and videos from the third party service to show up on the Internet.""On Sunday, thousands of photos and videos from the Snapchat service were
 put online, apparently taken from sites including Snapsaved.com, which 
had allowed people to log in using their Snapchat username and password 
to offer desktop-based rather than handset-based access to the site - 
and also the chance to store photos, which are meant to be deleted 
within seconds of being viewed.""Snapsaved posted on Facebook the following: ""I would like to inform the public that snapsaved.com was hacked” due to a
 mistake in the setup of its web server. “As soon as we discovered the 
breach in our systems, we immediately deleted the entire website and the
 database associated with it,” the unsigned statement continues. “As far
 as we can tell, the breach has effected [sic] 500MB of images, and 0 
personal information from the database.”More Information: http://www.theguardian.com/technology/2014/oct/13/third-party-snapchat-s...",Media
October,2014,Sears Holding Company/K-Mart,Hoffman Estates, Illinois,HACK,BSR,0,0,"Sears Holding Corp announced Friday that a data breach occurred at their K-Mart stores starting last month, with malicious software targeting their Point of Sale systems that  compromised customers' credit card information.Currently, Sears Holding Corp is not clear as to the number of affected customer cards and the breach is currently under investigation. K-Mart has said that they were able to remove the malware from their systems.K-Mart is working currently working with federal investigators.For those with questions, they are asked to call K-Mart's Customer Care Center at 1-888-488-5978.More Information: http://abcnews.go.com/Business/wireStory/kmart-latest-victim-data-breach...CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",Media
October,2014,Sausalito Yacht Club,Sausalito, California,HACK,BSO,0,0,"The Sausalito Yacht Club notified its members of a data breach to their online member roster. The information on the roster included member names linked to private Sausalito Yacht Club member numbers. These two pieces of information together allows for the charging of beverages, goods, services and meals at the club. Additionally, members personal contact information, financial information, including accounts receivable information could have been obtained. Currently, the breach is under investigation and depending upon what is found, the club may issue new cards and account numbers. For those affected with questions they may call General Manager, Dave Martel at 1-415-332-7400 or by e-mail at gm@sausalitoyachtclub.org.",California Attorney General
October,2014,University of California Davis Medical Center,Sacramento, California,HACK,MED,0,0,"The University California Davis Medical Center discovered abnormal activity in the email account of one of their providers. An investigation determined that the provider's email was compromised by an unknown source. As a result, an unauthorized use and access to their system giving them access to communication between the provider and the patients. For additional questions regarding the incident contact 1-916-734-8808 or email privacyprogram@ucdmc.ucdavis.edu More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-46960 ",California Attorney General
October,2014,Cyberswim.com,Pen Argyl, Pennsylvania,HACK,BSR,0,0,"Cyberswim.com notified customers of a data breach to their online ecommerce store and the discovery of customers' personal information being breached.On September 24, 2014 the company confirmed that an unauthorized individual(s) or entities installed malware on the server hosting their website. This malware was able to access personal information entered by customers when completing a purchase on the site.Information breached includes names, addresses, website usernames and passwords, payment card account numbers, card expiration dates, and payment card security codes.Purchases made between May 12, 2014 and August 28, 2014 are the dates this breach occurred. For those with questions call 1-844-286-4855 between 9:00 a.m and 5:00 p.m Easter time, Monday through Friday (excluding holidays). More Information: oag.ca.gov/ecrime/databreach/reports/sb24-46986 ",California Attorney General
October,2014,Reeves International Inc/ Breyer Horses,Pequannock, New Jersey,HACK,BSR,0,0,"Reeves International Inc. is informing customers of a data breach of one of their online retail sites called Breyer Horses (www.breyerhorses.com). On September 9, 2014 the company discovered an unauthorized party installed malware on the server hosting the Breyer Horse website, the malware compromised customers' personal data. The dates of the attack were from March 31, 2013 through October 6, 2014.The information compromised includes names, addresses, website usernames and passwords, payment card account numbers, card expiration dates, and payment card security codes. For anyone affected or those with questions call 1-877-572-06281-877-572-0628 twenty-four hours a day Monday through Sunday (excluding holidays). More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-47096CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",California Attorney General
October,2014,Sourcebooks Inc. ,Naperville, Illinois,HACK,BSR,0,0,"Sourcebooks Inc. has informed customers of a breach of their shopping cart software that supports several of their websites. The breach dates were from April 16, 2014 and June 19, 2014. An unauthorized party gained access to specific customer purchase information.The information breached includes first names, last names, email addresses, phone numbers, addresses, account passwords, credit card numbers, expiration dates of credit cards, cardholder names and card verification values.The company is conducting an investigation including a forensic audit to determine the full extent of the breach.For those with questions or concerns call 1-844-810-1155 between 8:30 a.m and 5:30 p.m Central Standard Time or go to http://www.sourcebooks.com/cardfaq.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-47029",California Attorney General
October,2014,American Soccer Inc./SCORE,Wilmington , California,HACK,BSR,0,0,"On October 21, 2014 SCORE discovered an unauthorized access to their server that processes customer payment information.According to the company on September 4, 2014 unauthorized access to their website compromised personal information of individuals who completed a transaction.The information includes names, payment card account numbers, expiration dates of cards, SCORE account numbers. Those who were affected conducted a transaction between June 1, 2014 and September 4, 2014. There was no evidence that customer addresses or security codes being compromised after an investigation was conducted.For those with questions or concerns call 1-800-626-77741-800-626-7774.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-46986CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",California Attorney General
October,2014,Oregon Employment Department/WorkSource Oregon,Portland, Oregon,HACK,GOV,850000,"850,000","The Oregon Employment Department, specifically WorkSource Oregon, discovered a data breach of a data base that contained personal information of individuals searching for jobs when an anonymous tip came in alerting officials of the breach. Social Security numbers of more than 850,000 individuals were compromised in the breach. Officials shut down the website and were investigating the breach.More Information: http://www.oregonlive.com/money/index.ssf/2014/10/security_breach_discov...",Media
November,2014,Fidelity National Financial,Jacksonville, Florida,HACK,BSF,0,0,"Fidelity National Financial, Inc (FNF) informed customers of a breach to their system due to a targeted phishing attack to certain employees.FNF is the parent company of Ticor Title Company of Oregon, Ticor Title of Nevada, Inc., Lawyers Title Company, and Lawyers Title of Oregon, LLC, which provides title insurance and real estate settlement services in Oregon, Nevada, and/or California. From April 14, 2014 and April 16, 2014 a certain number of employees were targeted in a phishing attack that allowed the hackers to obtain username and password information for employees of the company. The company hosts their email with a third party vendor and after investigating did not find any evidence that the hackers were able to breach FNF's internal network or systems. However, the investigation did reveal that personal information was obtained including Social Security numbers, bank account numbers, credit/debit card numbers and driver's license numbers. The company is offering 12 months free of AllClear ID to those affected. Those affected can call 1-877-676-03741-877-676-0374 to reach an AllClear investigator. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-47112CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",California Attorney General
November,2014,US Postal Service,Washington, District Of Columbia,HACK,GOV,"800,000","800,000","The US Postal Service is releasing information today that they have been the victim of a cyber attack with Chinese hackers being suspected of hacking into their computer networks compromising the information of over 800,000 employees.Currently the FBI is investigating the breach and it appears that information obtained included names, dates of birth, Social Security 
numbers, addresses, dates of employment. According to officials, all postal service employees were affected and they are not yet clear why their information was of interest to these hackers. They are not seeing any evidence of customer information being compromised. The investigators are calling the hackers ""sophisticated actors"".  More information will be posted as additional information comes out with the investigation.More Information: http://www.washingtonpost.com/blogs/federal-eye/wp/2014/11/10/china-susp...",Media
November,2014,U.S. Weather System,Washington, District Of Columbia,HACK,GOV,Satellite systems that forecast weather,0,"Officials from the National Oceanic and Atmospheric Administration (NOAA), which includes the National Weather Service, have notified officials of a data breach to the National Weather Service's satellite network.Reports are stating ""hackers from China breached the federal weather network recently, forcing cybersecurity teams to seal off data vital to disaster planning, aviation, shipping and scores of other crucial uses, officials said.""It appears the system was affected in September, but officials did not communicate that there was a problem until late October. an NOAA spokesman Scott Smullen did confirm that there were hacks and communicated that ""incident response began immediately"". More Information: http://www.washingtonpost.com/local/chinese-hack-us-weather-systems-sate... ",Media
November,2014,Central Dermatology Center,Chapel Hill, North Carolina,HACK,MED,0,0,"Central Dermatology Center notified patients of a data breach to their system when malware was found on one of their servers. The information compromised included patient names, addresses, phone numbers, dates of birth, Social Security Numbers, sex, treatment dates, account balances, email addresses, insurer, providers, employers and race.Currently, the center has hired an forensic IT firm to investigate the breach. They did not provide the number of individuals at risk.More Information: http://healthitsecurity.com/2014/11/10/potential-health-data-breach-hits... ",Media
November,2014,Jessie Trice Community Health Center,Miami, Florida,HACK,MED,"8,000","8,000","Jessie Trice Community Health Center announced a data breach when members of an identity theft ring accessed the personal information of 8,000 patients.The informaton accessed included names, dates of birth and Social Security Numbers. No medical information was compromised according to the facility. The FBI and the IRS are currently investigating the breach.More Information: http://www.clinical-innovation.com/topics/privacy-security/identity-thef...",Media
November,2014,Onsite Health Diagnostics,Dallas, Texas,HACK,MED,"60,582",0,"Dallas-based Onsite Health Diagnostics, a third party contractor with state of Tennessee,  who completes medical testing and health screenings for various government insurance plans has suffered a data breach. The company discovered hackers had gained access to a computer system that houses personal information for members of the Tennessee's State Insurance Plan, Local Government Insurance Plan and Local Education Insurance plan.The information affected in the breach included health benefit member names, dates of birth, addresses, emails, phone numbers and gender. More Information: http://www.healthcareitnews.com/news/hackers-swipe-data-60k-vendor-hipaa... ",Media
August,2014,US Investigations Services (USIS),Falls Church, Virginia,HACK,GOV,"25,000","25,000","The US Investigations Services (USIS), a firm that performs background checks for U.S government employees had a breach in their data base. Cyber criminals were able to hack their system to gain personal information on employees with the Department of Homeland Security, U.S Immigration and Customs Enforcement and U.S Customs and Border Protection units.The information breached included Social Security numbers, education and criminal history, birth dates, information on spouses, other relatives and friends including names and addresses.Officials say the number may increase as the investigation continues.More Information: http://www.reuters.com/article/2014/08/22/us-usa-security-contractor-cyb... UPDATE (9/18/2014): ""The Office of Personnel Management will not renew any of its contracts 
with USIS, the major Falls Church, Va., contractor that provides the 
bulk of background checks for federal security clearances and was the 
victim of a recent cyberattack, officials confirmed Tuesday evening"".USIS conducted over 21,000 background checks per month for the US government and has been under scrutiny since the data breach in August. More Information: http://www.washingtonpost.com/business/economy/opm-to-end-usis-contracts...UPDATE (11/14/2014) It appears that the breach affecting the Department of Homeland Security goes beyond just this US governmental agencies. The Ex-DHS official warns of more USIS breach victims and is warning that the breach likely affected other federal workers beyond DHS. ",Media
November,2014,US State Department,Washington, District Of Columbia,HACK,GOV,0,0,"The US State Department shut down one of its computer networks when it was believed to have been hacked. Experts believe this is related to the breach to the White House's unclassified computer network. On Monday Jeff Rathke, a State Department spokesperson said ""the department had recently detected ""activity of concern"" in portions of the system handling non-classified emails, and the weekend maintenance included security improvements responding to the breach.""More Information: http://phys.org/news/2014-11-state-dept-hacked-email.html#inlRlvon Monday, Rathke said 
the department had recently detected ""activity of concern"" in portions 
of the system handling non-classified emails, and the weekend 
maintenance included security improvements responding to the breach. Read more at: http://phys.org/news/2014-11-state-dept-hacked-email.html#jCpon Monday, Rathke said 
the department had recently detected ""activity of concern"" in portions 
of the system handling non-classified emails, and the weekend 
maintenance included security improvements responding to the breach. Read more at: http://phys.org/news/2014-11-state-dept-hacked-email.html#jCp",Media
October,2014,Penn Highlands Brookville,Brookville, Pennsylvania,HACK,MED,0,0,"The office of Dr. Barry J. Snyder at Penn Highlands Brookville, a healthcare service provider for the Brookville area in Pennsylvania, notified patients of a data breach when a third party accessed the third party vendor's server who maintains records for Dr. Snyder. The information compromised included patient names, addresses, dates of birth, driver's license numbers, Social Security numbers, phone numbers, insurance information, medical informatino and genders. The facility is offering free identity monitoring and identity protection services to affected individuals through Kroll Inc. Those affected can call 1-855-401-2640.",PHIPrivacy.net
November,2014,State Compensation Insurance Fund,Pleasanton, California,HACK,GOV,0,0,"The State Compensation Insurance Fund, a state agency that provides workers compensation insurance to businesses informed customers of a data breach when one of their brokers suffered a data breach to their system.Lucy Gomez Blankley Interpreting Inc., a provider of Stat Fund was the victim of a computer hack that resulted in theft of emails in which contained information regarding patient workers compensation claims.The specific information included names, addresses, phone, Social Security Number, dates of birth and workers compensation claim number.The agency is providing one year free of Experian ProtectMyID services to those who were affected. Those with questions can call 1-877-220-1388,More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-47592",California Attorney General
December,2014,American Residuals and Talent Inc.,Los Angeles, California,HACK,BSO,0,0,"American Residuals and Talen Inc, dba ART Payroll, a specialized payroll company for the entertainment, advertising and events production industry, notified customers of a breach to their system when hackers infiltrated their servers and obtained personal information. The information included names, addresses, dates of birth, Social Security number, email addresses, phone numbers, ART account numbers, bank account information, ART account user ID and password.The company is providing ProtectMyID for 1 year at no cost to those who were affected. For questions call 1-877-297-7780.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-47623",California Attorney General
November,2014,Shutterfly/Tiny Prints/Treats/Wedding Divas,Redwood City, California,HACK,BSO,0,0,"Tiny Prints, Treat and Wedding Paper Divas, owned by Shutterfly Inc. notified customers of a data breach to their online system by hackers. The hacking may have exposed customer usernames and passwords. The company is urging customers to change all usernames and passwords to each site.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-47602  ",California Attorney General
December,2014,Bebe Retail,Brisbane, California,HACK,BSR,0,0,"Bebe Stores have notified customers of a data breach to their point of sale systems that took place last month for several weeks. The goal of the hackers was to obtain payment card information. The hacking took place between November 8, 2014 and November 26, 2014The retailer is not stating how many cards were affected and the breach is currently being investigated by forensic IT specialists. Bebe has more than 200 stores that could have been affected.  More Information: http://fortune.com/2014/12/05/bebe-data-breach/",Media
